date,price
2023-09-26,1445.550048828125
2023-09-27,1440.1099853515625
2023-09-29,1424.1700439453125
2023-10-02,1418.760009765625
2023-10-03,1420.010009765625
2023-10-04,1415.8399658203125
2023-10-05,1415.5999755859375
2023-10-06,1416.8800048828125
2023-10-09,1417.260009765625
2023-10-10,1435.1700439453125
2023-10-11,1436.489990234375
2023-10-12,1443.8199462890625
2023-10-13,1444.1400146484375
2023-10-16,1438.9599609375
2023-10-17,1444.1300048828125
2023-10-18,1446.5400390625
2023-10-19,1442.6600341796875
2023-10-20,1441.0400390625
2023-10-23,1438.1199951171875
2023-10-24,1435.6500244140625
2023-10-25,1442.510009765625
2023-10-26,1440.5999755859375
2023-10-27,1441.9000244140625
2023-10-30,1439.199951171875
2023-10-31,1442.1400146484375
2023-11-01,1435.3299560546875
2023-11-02,1439.77001953125
2023-11-03,1449.9300537109375
2023-11-06,1464.6700439453125
2023-11-07,1463.3699951171875
2023-11-08,1457.5999755859375
2023-11-09,1452.27001953125
2023-11-10,1445.1800537109375
2023-11-14,1451.719970703125
2023-11-15,1466.8399658203125
2023-11-16,1464.6800537109375
2023-11-17,1460.6700439453125
2023-11-20,1456.9200439453125
2023-11-21,1463.4000244140625
2023-11-22,1455.8900146484375
2023-11-23,1453.2900390625
2023-11-24,1453.9200439453125
2023-11-27,1448.1500244140625
2023-11-28,1448.02001953125
2023-11-29,1446.0699462890625
2023-11-30,1452.739990234375
2023-12-01,1456.3800048828125
2023-12-04,1451.02001953125
2023-12-05,1449.4599609375
2023-12-06,1445.8199462890625
2023-12-07,1442.8499755859375
2023-12-08,1441.969970703125
2023-12-11,1446.3900146484375
2023-12-12,1447.1199951171875
2023-12-13,1448.0400390625
2023-12-14,1456.260009765625
2023-12-15,1462.449951171875
2023-12-18,1465.280029296875
2023-12-19,1465.6700439453125
2023-12-20,1464.56005859375
2023-12-21,1455.5799560546875
2023-12-22,1454.3800048828125
2023-12-26,1450.780029296875
2023-12-27,1454.219970703125
2023-12-28,1457.4100341796875
2023-12-29,1454.6600341796875
2024-01-02,1453.0999755859375
2024-01-03,1462.3699951171875
2024-01-04,1477.260009765625
2024-01-05,1487.6099853515625
2024-01-08,1495.699951171875
2024-01-09,1498.8299560546875
2024-01-10,1486.8599853515625
2024-01-11,1483.0
2024-01-12,1487.3399658203125
2024-01-15,1501.1099853515625
2024-01-16,1493.8699951171875
2024-01-17,1491.2099609375
2024-01-18,1479.1800537109375
2024-01-19,1486.3699951171875
2024-01-22,1491.18994140625
2024-01-23,1496.1099853515625
2024-01-24,1504.0999755859375
2024-01-26,1506.280029296875
2024-01-29,1515.3900146484375
2024-01-30,1512.75
2024-01-31,1512.97998046875
2024-02-02,1516.5799560546875
2024-02-05,1511.3399658203125
2024-02-06,1512.97998046875
2024-02-07,1513.1099853515625
2024-02-08,1512.3599853515625
2024-02-09,1512.280029296875
2024-02-13,1531.3699951171875
2024-02-14,1529.3299560546875
2024-02-15,1528.3800048828125
2024-02-16,1533.550048828125
2024-02-19,1538.6099853515625
2024-02-20,1555.5899658203125
2024-02-21,1552.4000244140625
2024-02-22,1545.489990234375
2024-02-23,1549.1099853515625
2024-02-26,1547.5999755859375
2024-02-27,1558.800048828125
2024-02-28,1545.5899658203125
2024-02-29,1551.43994140625
2024-03-01,1538.02001953125
2024-03-04,1539.27001953125
2024-03-05,1536.97998046875
2024-03-06,1531.510009765625
2024-03-07,1535.8299560546875
2024-03-08,1539.8599853515625
2024-03-11,1544.7099609375
2024-03-12,1554.56005859375
2024-03-13,1538.1300048828125
2024-03-14,1543.75
2024-03-15,1552.8299560546875
2024-03-18,1553.6400146484375
2024-03-19,1544.9599609375
2024-03-20,1535.7900390625
2024-03-21,1541.4100341796875
2024-03-22,1542.3900146484375
2024-03-25,1537.5400390625
2024-03-26,1538.4200439453125
2024-03-27,1530.5999755859375
2024-03-29,1536.0699462890625
2024-04-01,1544.02001953125
2024-04-02,1547.989990234375
2024-04-03,1537.010009765625
2024-04-04,1553.239990234375
2024-04-05,1555.25
2024-04-08,1559.97998046875
2024-04-09,1553.510009765625
2024-04-12,1551.0400390625
2024-04-15,1542.530029296875
2024-04-16,1535.0
2024-04-17,1540.4200439453125
2024-04-18,1544.760009765625
2024-04-19,1547.5699462890625
2024-04-22,1559.5899658203125
2024-04-23,1561.6400146484375
2024-04-24,1571.47998046875
2024-04-25,1569.25
2024-04-26,1575.1600341796875
2024-04-29,1582.6600341796875
2024-04-30,1575.969970703125
2024-05-02,1580.300048828125
2024-05-03,1589.5899658203125
2024-05-06,1597.3900146484375
2024-05-07,1605.6800537109375
2024-05-08,1604.75
2024-05-09,1601.219970703125
2024-05-10,1600.6700439453125
2024-05-13,1602.9100341796875
2024-05-14,1605.8800048828125
2024-05-15,1603.22998046875
2024-05-16,1611.1099853515625
2024-05-17,1616.6199951171875
2024-05-20,1627.5
2024-05-21,1622.0899658203125
2024-05-23,1629.1800537109375
2024-05-24,1619.4000244140625
2024-05-27,1618.27001953125
2024-05-28,1615.8199462890625
2024-05-29,1605.3499755859375
2024-05-30,1604.260009765625
2024-05-31,1596.6800537109375
2024-06-04,1615.4000244140625
2024-06-05,1608.530029296875
2024-06-06,1614.72998046875
2024-06-07,1617.8599853515625
2024-06-10,1614.3699951171875
2024-06-11,1611.489990234375
2024-06-12,1608.949951171875
2024-06-13,1610.1700439453125
2024-06-14,1607.3199462890625
2024-06-18,1606.1300048828125
2024-06-19,1599.7900390625
2024-06-20,1592.68994140625
2024-06-21,1590.3699951171875
2024-06-24,1589.6600341796875
2024-06-25,1585.3800048828125
2024-06-26,1590.949951171875
2024-06-27,1584.93994140625
2024-06-28,1590.0899658203125
2024-07-01,1598.199951171875
2024-07-02,1597.9599609375
2024-07-03,1615.3199462890625
2024-07-04,1616.75
2024-07-05,1611.02001953125
2024-07-09,1614.4200439453125
2024-07-10,1618.3800048828125
2024-07-11,1623.1199951171875
2024-07-12,1619.06005859375
2024-07-15,1629.8199462890625
2024-07-16,1625.9599609375
2024-07-17,1633.5400390625
2024-07-18,1633.81005859375
2024-07-19,1636.550048828125
2024-07-22,1622.0699462890625
2024-07-23,1629.6800537109375
2024-07-24,1621.1400146484375
2024-07-25,1615.1800537109375
2024-07-26,1612.8800048828125
2024-07-29,1624.56005859375
2024-07-30,1611.93994140625
2024-07-31,1625.5699462890625
2024-08-01,1624.25
2024-08-02,1611.050048828125
2024-08-05,1536.47998046875
2024-08-06,1574.3900146484375
2024-08-07,1591.8699951171875
2024-08-08,1590.3800048828125
2024-08-09,1596.050048828125
2024-08-12,1606.6600341796875
2024-08-13,1609.52001953125
2024-08-14,1612.3499755859375
2024-08-15,1612.93994140625
2024-08-16,1623.9000244140625
2024-08-19,1648.699951171875
2024-08-20,1642.77001953125
2024-08-21,1635.3199462890625
2024-08-22,1641.6600341796875
2024-08-23,1635.739990234375
2024-08-26,1638.9599609375
2024-08-27,1652.2900390625
2024-08-28,1675.239990234375
2024-08-29,1653.550048828125
2024-08-30,1678.800048828125
2024-09-02,1678.18994140625
2024-09-03,1676.6500244140625
2024-09-04,1670.239990234375
2024-09-05,1664.8199462890625
2024-09-06,1653.1199951171875
2024-09-09,1651.489990234375
2024-09-10,1660.3499755859375
2024-09-11,1639.800048828125
2024-09-12,1638.31005859375
2024-09-13,1652.1500244140625
2024-09-17,1664.280029296875
2024-09-18,1660.5899658203125
2024-09-19,1665.6500244140625
2024-09-20,1668.8199462890625
2024-09-23,1665.300048828125
2024-09-24,1670.3699951171875
2024-09-25,1673.3800048828125
2024-09-26,1671.3199462890625
2024-09-27,1660.0899658203125
2024-09-30,1648.9100341796875
2024-10-01,1656.3900146484375
2024-10-02,1639.31005859375
2024-10-03,1641.550048828125
2024-10-04,1629.969970703125
2024-10-07,1635.2900390625
2024-10-08,1635.6199951171875
2024-10-09,1634.9100341796875
2024-10-10,1640.93994140625
2024-10-11,1633.550048828125
2024-10-14,1636.5400390625
2024-10-15,1641.969970703125
2024-10-16,1632.6300048828125
2024-10-17,1641.43994140625
2024-10-18,1645.989990234375
2024-10-21,1645.6800537109375
2024-10-22,1642.5400390625
2024-10-23,1641.530029296875
2024-10-24,1632.22998046875
2024-10-25,1618.300048828125
2024-10-28,1610.469970703125
2024-10-29,1615.0799560546875
2024-10-30,1601.8800048828125
2024-11-01,1603.97998046875
2024-11-04,1616.4300537109375
2024-11-05,1620.699951171875
2024-11-06,1634.1700439453125
2024-11-07,1623.280029296875
2024-11-08,1621.239990234375
2024-11-11,1609.260009765625
2024-11-12,1608.4300537109375
2024-11-13,1611.5
2024-11-14,1600.6800537109375
2024-11-15,1592.43994140625
2024-11-18,1604.0400390625
2024-11-19,1602.3399658203125
2024-11-20,1598.1800537109375
2024-11-21,1588.6800537109375
2024-11-22,1589.780029296875
2024-11-25,1597.449951171875
2024-11-26,1603.1500244140625
2024-11-27,1604.25
2024-11-28,1597.489990234375
2024-11-29,1594.2900390625
2024-12-02,1595.47998046875
2024-12-03,1606.9599609375
2024-12-04,1614.0899658203125
2024-12-05,1615.6400146484375
2024-12-06,1613.25
2024-12-09,1611.4300537109375
2024-12-10,1608.969970703125
2024-12-11,1603.199951171875
2024-12-12,1602.0799560546875
2024-12-13,1608.75
2024-12-16,1606.8499755859375
2024-12-17,1597.3299560546875
2024-12-18,1599.5799560546875
2024-12-19,1600.0899658203125
2024-12-20,1591.4100341796875
2024-12-23,1596.199951171875
2024-12-24,1602.989990234375
2024-12-26,1613.699951171875
2024-12-27,1628.1400146484375
2024-12-30,1637.6800537109375
2024-12-31,1642.3299560546875
2025-01-02,1632.8699951171875
2025-01-03,1629.4599609375
2025-01-06,1625.469970703125
2025-01-07,1629.7900390625
2025-01-08,1614.8299560546875
2025-01-09,1600.81005859375
2025-01-10,1602.4100341796875
2025-01-13,1585.5899658203125
2025-01-14,1576.4599609375
2025-01-15,1562.1199951171875
2025-01-16,1555.5400390625
2025-01-17,1566.719970703125
2025-01-20,1572.3399658203125
2025-01-21,1580.4599609375
2025-01-22,1587.800048828125
2025-01-23,1577.199951171875
2025-01-24,1573.72998046875
2025-01-27,1558.969970703125
2025-01-28,1552.68994140625
2025-01-31,1556.9200439453125
2025-02-03,1553.6300048828125
2025-02-04,1564.56005859375
2025-02-05,1574.510009765625
2025-02-06,1585.1700439453125
2025-02-07,1590.9100341796875
2025-02-10,1589.949951171875
2025-02-12,1603.050048828125
2025-02-13,1592.280029296875
2025-02-14,1591.5999755859375
2025-02-17,1582.760009765625
2025-02-18,1584.8399658203125
2025-02-19,1580.8800048828125
2025-02-20,1577.6700439453125
2025-02-21,1591.030029296875
2025-02-24,1584.25
2025-02-25,1568.030029296875
2025-02-26,1588.7099609375
2025-02-27,1586.5999755859375
2025-02-28,1574.699951171875
2025-03-03,1571.3900146484375
2025-03-04,1555.6600341796875
2025-03-05,1564.4200439453125
2025-03-06,1558.9100341796875
2025-03-07,1547.27001953125
2025-03-10,1536.4599609375
2025-03-11,1520.1500244140625
2025-03-12,1484.8299560546875
2025-03-13,1510.030029296875
2025-03-14,1512.1500244140625
2025-03-17,1527.81005859375
2025-03-19,1517.6600341796875
2025-03-20,1504.1600341796875
2025-03-21,1505.449951171875
2025-03-24,1503.8199462890625
2025-03-25,1513.5999755859375
2025-03-26,1518.050048828125
2025-03-27,1535.72998046875
2025-03-28,1513.6500244140625
2025-04-02,1526.52001953125
2025-04-03,1518.9100341796875
2025-04-04,1504.1400146484375
2025-04-07,1443.800048828125
2025-04-08,1443.56005859375
2025-04-09,1400.5899658203125
2025-04-10,1463.1300048828125
2025-04-11,1454.760009765625
2025-04-14,1480.8599853515625
2025-04-15,1486.4300537109375
2025-04-16,1476.9200439453125
2025-04-17,1483.27001953125
2025-04-18,1499.4000244140625
2025-04-21,1499.469970703125
2025-04-22,1486.25
2025-04-23,1501.18994140625
2025-04-24,1506.52001953125
2025-04-25,1509.199951171875
2025-04-28,1521.5899658203125
2025-04-29,1515.56005859375
2025-04-30,1540.219970703125
2025-05-02,1542.489990234375
2025-05-05,1539.5400390625
2025-05-06,1536.800048828125
2025-05-07,1549.9000244140625
2025-05-08,1542.739990234375
2025-05-09,1546.5
2025-05-13,1582.3900146484375
2025-05-14,1583.510009765625
2025-05-15,1573.02001953125
2025-05-16,1571.75
2025-05-19,1556.1400146484375
2025-05-20,1548.8699951171875
2025-05-21,1544.800048828125
2025-05-22,1527.02001953125
2025-05-23,1535.3800048828125
2025-05-26,1534.300048828125
2025-05-27,1526.1600341796875
2025-05-28,1523.47998046875
2025-05-29,1518.97998046875
2025-05-30,1508.3499755859375
2025-06-03,1503.25
2025-06-04,1507.969970703125
2025-06-05,1518.1199951171875
2025-06-06,1516.7900390625
2025-06-09,1519.4100341796875
2025-06-10,1516.949951171875
2025-06-11,1523.8399658203125
2025-06-12,1526.6199951171875
2025-06-13,1518.1099853515625
2025-06-16,1519.989990234375
2025-06-17,1511.6400146484375
2025-06-18,1511.949951171875
2025-06-19,1501.43994140625
2025-06-20,1502.739990234375
2025-06-23,1516.6099853515625
2025-06-24,1514.2900390625
2025-06-25,1519.7900390625
2025-06-26,1528.1600341796875
2025-06-30,1532.9599609375
2025-07-01,1541.530029296875
2025-07-02,1550.2099609375
2025-07-03,1548.989990234375
2025-07-04,1550.18994140625
2025-07-07,1537.5400390625
2025-07-08,1530.1400146484375
2025-07-09,1529.239990234375
2025-07-10,1536.52001953125
2025-07-11,1536.0699462890625
2025-07-14,1537.510009765625
2025-07-15,1525.4000244140625
2025-07-16,1511.5
2025-07-17,1520.93994140625
2025-07-18,1525.8599853515625
2025-07-21,1524.5899658203125
2025-07-22,1519.4000244140625
2025-07-23,1529.7900390625
2025-07-24,1540.3199462890625
2025-07-25,1533.760009765625
2025-07-28,1529.3800048828125
2025-07-29,1523.8199462890625
2025-07-30,1524.5
2025-07-31,1513.25
2025-08-01,1533.3499755859375
2025-08-04,1526.97998046875
2025-08-05,1538.6400146484375
2025-08-06,1541.47998046875
2025-08-07,1549.1099853515625
2025-08-08,1556.97998046875
2025-08-11,1563.239990234375
2025-08-12,1567.9000244140625
2025-08-13,1586.5999755859375
2025-08-14,1581.050048828125
2025-08-15,1576.3399658203125
2025-08-18,1584.9599609375
2025-08-19,1590.239990234375
2025-08-20,1588.2099609375
2025-08-21,1592.8699951171875
2025-08-22,1597.469970703125
2025-08-25,1602.449951171875
2025-08-26,1581.5899658203125
2025-08-27,1587.9100341796875
2025-08-28,1587.0699462890625
2025-08-29,1575.1199951171875
2025-09-02,1576.699951171875
2025-09-03,1578.52001953125
2025-09-04,1578.1500244140625
2025-09-08,1585.5899658203125
2025-09-09,1586.81005859375
2025-09-10,1590.75
2025-09-11,1582.8499755859375
2025-09-12,1600.1300048828125
2025-09-17,1611.699951171875
2025-09-18,1598.9300537109375
2025-09-19,1598.22998046875
2025-09-22,1603.3399658203125
2025-09-23,1603.550048828125
2025-09-24,1599.6600341796875
2025-09-25,1598.469970703125
2025-09-26,1609.050048828125
2025-09-29,1610.949951171875
2025-09-30,1611.8800048828125
2025-10-01,1620.8699951171875
2025-10-02,1637.800048828125
2025-10-03,1635.06005859375
2025-10-06,1638.0899658203125
2025-10-07,1630.030029296875
2025-10-08,1627.5
2025-10-09,1629.6700439453125
2025-10-10,1622.25
2025-10-13,1615.18994140625
2025-10-14,1611.4599609375
2025-10-15,1611.550048828125
2025-10-16,1612.2900390625
2025-10-17,1607.1800537109375
2025-10-21,1616.8299560546875
2025-10-22,1602.68994140625
2025-10-23,1608.0
2025-10-24,1613.27001953125
2025-10-27,1618.3800048828125
2025-10-28,1613.56005859375
2025-10-29,1611.5400390625
2025-10-30,1614.199951171875
2025-10-31,1609.1500244140625
2025-11-03,1622.4200439453125
2025-11-04,1623.5
2025-11-05,1621.550048828125
2025-11-06,1618.93994140625
2025-11-07,1619.1300048828125
2025-11-10,1627.3800048828125
2025-11-11,1634.8299560546875
2025-11-12,1631.6099853515625
2025-11-13,1632.27001953125
